batch_size,cache_length,chunk_size,converged,dtype,flag,n_head,n_query_groups,head_size
1,4096,1,False,torch.bfloat16,Always use query-padded SDPA,14,2,64
1,6144,16,True,torch.bfloat16,converged,14,2,64
1,8192,16,True,torch.bfloat16,converged,14,2,64
1,12288,17,True,torch.bfloat16,converged,14,2,64
1,16384,17,True,torch.bfloat16,converged,14,2,64
1,24576,154,True,torch.bfloat16,converged,14,2,64
1,32768,344,True,torch.bfloat16,converged,14,2,64
2,4096,16,True,torch.bfloat16,converged,14,2,64
2,6144,17,True,torch.bfloat16,converged,14,2,64
2,8192,17,True,torch.bfloat16,converged,14,2,64
2,12288,103,True,torch.bfloat16,converged,14,2,64
2,16384,205,True,torch.bfloat16,converged,14,2,64
2,24576,384,True,torch.bfloat16,converged,14,2,64
2,32768,385,True,torch.bfloat16,converged,14,2,64
3,4096,16,True,torch.bfloat16,converged,14,2,64
3,6144,17,True,torch.bfloat16,converged,14,2,64
3,8192,55,True,torch.bfloat16,converged,14,2,64
3,12288,158,True,torch.bfloat16,converged,14,2,64
3,16384,256,True,torch.bfloat16,converged,14,2,64
3,24576,273,True,torch.bfloat16,converged,14,2,64
3,32768,455,True,torch.bfloat16,converged,14,2,64
4,4096,17,True,torch.bfloat16,converged,14,2,64
4,6144,37,True,torch.bfloat16,converged,14,2,64
4,8192,106,True,torch.bfloat16,converged,14,2,64
4,12288,129,True,torch.bfloat16,converged,14,2,64
4,16384,184,True,torch.bfloat16,converged,14,2,64
4,24576,374,True,torch.bfloat16,converged,14,2,64
4,32768,398,True,torch.bfloat16,converged,14,2,64
8,4096,17,True,torch.bfloat16,converged,14,2,64
8,6144,24,True,torch.bfloat16,converged,14,2,64
8,8192,96,True,torch.bfloat16,converged,14,2,64
8,12288,129,True,torch.bfloat16,converged,14,2,64
8,16384,256,True,torch.bfloat16,converged,14,2,64
8,24576,364,True,torch.bfloat16,converged,14,2,64
8,32768,347,True,torch.bfloat16,converged,14,2,64
1,4096,16,True,torch.bfloat16,converged,12,2,128
1,6144,17,True,torch.bfloat16,converged,12,2,128
1,8192,17,True,torch.bfloat16,converged,12,2,128
1,12288,22,True,torch.bfloat16,converged,12,2,128
1,16384,176,True,torch.bfloat16,converged,12,2,128
1,24576,425,True,torch.bfloat16,converged,12,2,128
1,32768,652,True,torch.bfloat16,converged,12,2,128
2,4096,17,True,torch.bfloat16,converged,12,2,128
2,6144,17,True,torch.bfloat16,converged,12,2,128
2,8192,98,True,torch.bfloat16,converged,12,2,128
2,12288,256,True,torch.bfloat16,converged,12,2,128
2,16384,384,True,torch.bfloat16,converged,12,2,128
2,24576,512,True,torch.bfloat16,converged,12,2,128
2,32768,640,True,torch.bfloat16,converged,12,2,128
3,4096,17,True,torch.bfloat16,converged,12,2,128
3,6144,98,True,torch.bfloat16,converged,12,2,128
3,8192,129,True,torch.bfloat16,converged,12,2,128
3,12288,283,True,torch.bfloat16,converged,12,2,128
3,16384,384,True,torch.bfloat16,converged,12,2,128
3,24576,513,True,torch.bfloat16,converged,12,2,128
3,32768,768,True,torch.bfloat16,converged,12,2,128
4,4096,17,True,torch.bfloat16,converged,12,2,128
4,6144,128,True,torch.bfloat16,converged,12,2,128
4,8192,169,True,torch.bfloat16,converged,12,2,128
4,12288,257,True,torch.bfloat16,converged,12,2,128
4,16384,384,True,torch.bfloat16,converged,12,2,128
4,24576,513,True,torch.bfloat16,converged,12,2,128
4,32768,682,True,torch.bfloat16,converged,12,2,128
8,4096,96,True,torch.bfloat16,converged,12,2,128
8,6144,129,True,torch.bfloat16,converged,12,2,128
8,8192,144,True,torch.bfloat16,converged,12,2,128
8,12288,257,True,torch.bfloat16,converged,12,2,128
8,16384,384,True,torch.bfloat16,converged,12,2,128
8,24576,471,True,torch.bfloat16,converged,12,2,128
8,32768,629,True,torch.bfloat16,converged,12,2,128
1,4096,16,True,torch.bfloat16,converged,16,2,128
1,6144,17,True,torch.bfloat16,converged,16,2,128
1,8192,17,True,torch.bfloat16,converged,16,2,128
1,12288,128,True,torch.bfloat16,converged,16,2,128
1,16384,257,True,torch.bfloat16,converged,16,2,128
1,24576,513,True,torch.bfloat16,converged,16,2,128
1,32768,768,True,torch.bfloat16,converged,16,2,128
2,4096,17,True,torch.bfloat16,converged,16,2,128
2,6144,62,True,torch.bfloat16,converged,16,2,128
2,8192,129,True,torch.bfloat16,converged,16,2,128
2,12288,257,True,torch.bfloat16,converged,16,2,128
2,16384,384,True,torch.bfloat16,converged,16,2,128
2,24576,512,True,torch.bfloat16,converged,16,2,128
2,32768,752,True,torch.bfloat16,converged,16,2,128
3,4096,17,True,torch.bfloat16,converged,16,2,128
3,6144,128,True,torch.bfloat16,converged,16,2,128
3,8192,167,True,torch.bfloat16,converged,16,2,128
3,12288,257,True,torch.bfloat16,converged,16,2,128
3,16384,384,True,torch.bfloat16,converged,16,2,128
3,24576,513,True,torch.bfloat16,converged,16,2,128
3,32768,682,True,torch.bfloat16,converged,16,2,128
4,4096,48,True,torch.bfloat16,converged,16,2,128
4,6144,128,True,torch.bfloat16,converged,16,2,128
4,8192,129,True,torch.bfloat16,converged,16,2,128
4,12288,257,True,torch.bfloat16,converged,16,2,128
4,16384,384,True,torch.bfloat16,converged,16,2,128
4,24576,561,True,torch.bfloat16,converged,16,2,128
4,32768,640,True,torch.bfloat16,converged,16,2,128
8,4096,36,True,torch.bfloat16,converged,16,2,128
8,6144,128,True,torch.bfloat16,converged,16,2,128
8,8192,129,True,torch.bfloat16,converged,16,2,128
